movie_id,title,year,genres,keywords,rating_count,rating_avg,imdb_id,tmdb_id,poster_url
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,toys | computer animation | pixar animation | kids and family | animation | kids | pixar | children | cartoon | imdb top 250 | animated | childhood,49695,3.9212396,tt0114709,862,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX500.jpg
2,Jumanji,1995,Adventure|Children|Fantasy,adventure | jungle | children | kids | special effects | fantasy | animals | fun movie | childhood | family | lions | video game,22243,3.2119768,tt0113497,8844,
3,Grumpier Old Men,1995,Comedy|Romance,good sequel | sequel | sequels | comedy | original | crappy sequel | destiny | great | romance | fish | mentor | good,12735,3.1510406,tt0113228,15602,
4,Waiting to Exhale,1995,Comedy|Drama|Romance,women | chick flick | girlie movie | romantic | unlikely friendships | original | relationships | sweet | feel-good | stereotypes | shallow | touching,2756,2.8613932,tt0114885,31357,
5,Father of the Bride Part II,1995,Comedy,good sequel | father daughter relationship | sequels | sequel | comedy | pregnancy | family | wedding | parenthood | funny | feel-good | destiny,12161,3.0645916,tt0113041,11862,
6,Heat,1995,Action|Crime|Thriller,crime | heist | gunfight | bank robbery | great acting | imdb top 250 | action | complex characters | los angeles | realistic action | complex | excellent script,23899,3.8349304,tt0113277,949,https://m.media-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX500.jpg
7,Sabrina,1995,Comedy|Romance,remake | romantic | romantic comedy | romance | paris | good romantic comedies | destiny | chick flick | based on a play | love story | original | happy ending,12961,3.3664842,tt0114319,11860,
8,Tom and Huck,1995,Adventure|Children,adventure | based on a book | unlikely friendships | childhood | friendship | adapted from:book | drama | based on book | pg | family | girlie movie | children,1415,3.1420496,tt0112302,45325,
9,Sudden Death,1995,Action,action | good action | lone hero | video game adaptation | action packed | fight scenes | secret service | explosions | single father | chase | big budget | original,3960,3.0049243,tt0114576,9091,
10,GoldenEye,1995,Action|Adventure|Thriller,007 | 007 (series) | bond | franchise | espionage | secret service | action | chase | spying | spies | assassin | james bond,29005,3.4300294,tt0113189,710,
11,The American President,1995,Comedy|Drama|Romance,president | politics | political | world politics | romantic comedy | love story | romantic | romance | drama | single father | girlie movie | feel-good,18162,3.6677127,tt0112346,9087,
12,Dracula: Dead and Loving It,1995,Comedy|Horror,spoof | parody | comedy | goofy | silly fun | original | vampire | silly | screwball | hilarious | very funny | slapstick,3845,2.619766,tt0112896,12110,
13,Balto,1995,Adventure|Animation|Children,talking animals | animation | animated | dog | dogs | kids and family | cartoon | animals | computer animation | disney animated feature | disney | alaska,1461,3.272416,tt0112453,21032,
14,Nixon,1995,Drama,president | biographical | world politics | politics | biopic | biography | political | race issues | factual | corruption | conspiracy | historical,6022,3.4320824,tt0113987,10858,
15,Cutthroat Island,1995,Action|Adventure|Romance,treasure hunt | pirates | swashbuckler | action | adventure | treasure | sword fight | big budget | sword fighting | good action | action packed | fun movie,2910,2.7219932,tt0112760,1408,
16,Casino,1995,Crime|Drama,organized crime | mafia | mob | gangster | gangsters | casino | violent | las vegas | violence | narrated | stylish | oscar (best supporting actor),17394,3.7874556,tt0112641,524,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX500.jpg
17,Sense and Sensibility,1995,Drama|Romance,18th century | adapted from:book | costume drama | period piece | romantic | jane austen | 19th century | literature | england | based on a book | british | beautiful scenery,20667,3.968573,tt0114388,4584,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX500.jpg
18,Four Rooms,1995,Comedy,off-beat comedy | storytelling | hotel | tarantino | stylish | weird | multiple storylines | original | great ending | dialogue | twists & turns | dark humor,5203,3.3736305,tt0113101,5,
19,Ace Ventura: When Nature Calls,1995,Comedy,goofy | silly fun | comedy | dumb | detective | stupid as hell | hilarious | good sequel | funny as hell | very funny | sequels | funniest movies,20938,2.6074123,tt0112281,9273,
